company_name,department,occupation,page,rating,date,title,job_title,employment_status,location,recommend,ceo_approval,business_outlook,pros,cons,city,state,region,full_text,supportive_coworkers_and_teamwork_score,overall_job_satisfaction_score,healthy_work-life_balance_score,pride_and_sense_of_purpose_score,compassion_fatigue_from_difficult_clients_or_students_score,frustration_with_management_or_leadership_score,burnout_and_exhaustion_score,high_staff_turnover_and_instability_score,dissatisfaction_with_pay_score,invisible_labor_score,positive_experience_score,job_title_norm,pay_range,min,max,per,num_salaries,asian_rating,black_or_african_american_rating,caregivers_rating,heterosexual_rating,hispanic_or_latinx_rating,indigenous_american_or_alaska_native_rating,lgbtq_rating,men_rating,middle_eastern_rating,non_veterans_rating,not_a_parent_or_caregiver_rating,parents_guardians_rating,people_with_disabilities_rating,people_without_disabilities_rating,transgender_and_or_non_binary_rating,veterans_rating,white_rating,women_rating,n_real_ratings
HealthTrust Workforce Solutions,Healthcare,Nurse,3,3.0,"May 1, 2024",make your own schedule,"Registered nurse, bsn","Current employee, more than 8 years","San Antonio, TX",,,,"flexibility, you choose the days you want to work",first to float or be canceled,San Antonio,TX,South,"flexibility, you choose the days you want to work first to float or be canceled",0.2712005972862243,0.1942170858383178,0.958679735660553,0.1191853359341621,0.0371073931455612,0.045279037207365,0.0005365291144698,0.072541058063507,0.0583702586591243,0.0568695829715579,0.9663464035838842,"registered nurse, bsn",$79K - $100K /yr,79000.0,100000.0,yr,60.0,2.5,3.4,3.3,3.2,3.1,3.1399999999999997,3.0,3.1,3.1399999999999997,3.2,2.8,3.8,3.1,3.3,3.1399999999999997,2.6,3.3,3.4,15.0
HealthTrust Workforce Solutions,Healthcare,Nurse,3,4.0,"Jan 1, 2024",Per Diem RN,"Registered nurse, bsn",Current employee,"Saint Petersburg, FL",,,,Can choose the days you work.,Can be called off at any time.,Saint Petersburg,FL,South,Can choose the days you work. Can be called off at any time.,0.4418912827968597,0.5434442758560181,0.9732006192207336,0.3376519680023193,0.1216724887490272,0.0836463496088981,0.0799795240163803,0.1301773339509964,0.1612190753221511,0.1899292860180139,1.6147020235657692,"registered nurse, bsn",$79K - $100K /yr,79000.0,100000.0,yr,60.0,2.5,3.4,3.3,3.2,3.1,3.1399999999999997,3.0,3.1,3.1399999999999997,3.2,2.8,3.8,3.1,3.3,3.1399999999999997,2.6,3.3,3.4,15.0
HealthTrust Workforce Solutions,Healthcare,Nurse,3,3.0,"Dec 2, 2023",Flexible schedule,"Registered nurse, bsn",Current employee,"Bradenton, FL",,,,Flexibility and control over schedule. Able to pick up and multiple hospitals,Patient to nurse ratios is high,Bradenton,FL,South,Flexibility and control over schedule. Able to pick up and multiple hospitals Patient to nurse ratios is high,0.1324391961097717,0.3622730672359466,0.7292665839195251,0.039932407438755,0.015276369638741,0.0208394639194011,0.0007739539141766,0.0016553909517824,0.0012627067044377,0.0041438082116656,0.8561850618571043,"registered nurse, bsn",$79K - $100K /yr,79000.0,100000.0,yr,60.0,2.5,3.4,3.3,3.2,3.1,3.1399999999999997,3.0,3.1,3.1399999999999997,3.2,2.8,3.8,3.1,3.3,3.1399999999999997,2.6,3.3,3.4,15.0
HealthTrust Workforce Solutions,Healthcare,Nurse,3,5.0,"Sep 8, 2023",,"Registered nurse, bsn",Current employee,"Plantation, FL",,,,"Differential, self booking via app",Lower pay compared to other local agencies,Plantation,FL,South,"Differential, self booking via app Lower pay compared to other local agencies",0.0003311635518912,0.0252531263977289,0.0857518389821052,0.0434061922132968,0.0208531841635704,0.349435955286026,0.0128385899588465,0.1136617437005043,0.9938591122627258,0.735253787599504,0.1009320627126726,"registered nurse, bsn",$79K - $100K /yr,79000.0,100000.0,yr,60.0,2.5,3.4,3.3,3.2,3.1,3.1399999999999997,3.0,3.1,3.1399999999999997,3.2,2.8,3.8,3.1,3.3,3.1399999999999997,2.6,3.3,3.4,15.0
HealthTrust Workforce Solutions,Healthcare,Nurse,3,2.0,"Apr 15, 2023",Needs help with communication,"Registered nurse, bsn",Current employee,"Houston, TX",,,,Pay is below average for agency nursing and I have not received a raise for 2 years.,Not very good with communication as a whole. But I got lucky with a great recruiter but prior to that you would get a different story depending on who on spoke with.,Houston,TX,South,Pay is below average for agency nursing and I have not received a raise for 2 years. Not very good with communication as a whole. But I got lucky with a great recruiter but prior to that you would get a different story depending on who on spoke with.,0.0357558690011501,0.4488404989242553,0.0112823639065027,0.0855308473110199,0.0952985510230064,0.9085923433303832,0.0506160445511341,0.2126015573740005,0.9987447261810304,1.139293847605586,0.5454467181116343,"registered nurse, bsn",$79K - $100K /yr,79000.0,100000.0,yr,60.0,2.5,3.4,3.3,3.2,3.1,3.1399999999999997,3.0,3.1,3.1399999999999997,3.2,2.8,3.8,3.1,3.3,3.1399999999999997,2.6,3.3,3.4,15.0
HealthTrust Workforce Solutions,Healthcare,Nurse,4,5.0,"Apr 12, 2023",Travel nurse,"Registered nurse, bsn","Current employee, more than 3 years","Denver, CO",,,,Never canceled my contract in the 4 years I’ve worked for them,Pay isn’t the highest but that’s really about it,Denver,CO,West,Never canceled my contract in the 4 years I’ve worked for them Pay isn’t the highest but that’s really about it,0.3783228993415832,0.9026737809181212,0.3282154202461242,0.2395017296075821,0.0580525361001491,0.1211851015686988,0.0156588274985551,0.0002650307433214,0.7744334936141968,0.3873891777329845,1.5301499627530577,"registered nurse, bsn",$79K - $100K /yr,79000.0,100000.0,yr,60.0,2.5,3.4,3.3,3.2,3.1,3.1399999999999997,3.0,3.1,3.1399999999999997,3.2,2.8,3.8,3.1,3.3,3.1399999999999997,2.6,3.3,3.4,15.0
HealthTrust Workforce Solutions,Healthcare,Nurse,4,3.0,"Nov 10, 2022",My stay,"Registered nurse, bsn",Former employee,,,,,Good pay. More hospitals. Competitive facilities.,Unstructured operations. Lack of consistency.,,,,Good pay. More hospitals. Competitive facilities. Unstructured operations. Lack of consistency.,0.0059774084948003,0.0366666615009307,0.0097310924902558,0.0335222966969013,0.0013685247395187,0.1218894124031066,0.002995993476361,0.5321474075317383,0.00086440728046,0.3147118522902019,0.0711569866398349,"registered nurse, bsn",$79K - $100K /yr,79000.0,100000.0,yr,60.0,2.5,3.4,3.3,3.2,3.1,3.1399999999999997,3.0,3.1,3.1399999999999997,3.2,2.8,3.8,3.1,3.3,3.1399999999999997,2.6,3.3,3.4,15.0
HealthTrust Workforce Solutions,Healthcare,Nurse,4,3.0,"Nov 2, 2022",Happy worker,"Registered nurse, bsn",Former employee,,positive,neutral,positive,Flexibility Helpful and attentive recruiter,Cancellation Poor assignment depending on facility,,,,Flexibility Helpful and attentive recruiter Cancellation Poor assignment depending on facility,0.3433688580989837,0.0337892211973667,0.1683438718318939,0.0026901140809059,0.0002060544356936,0.0098982080817222,4.9957958253799006e-05,0.0037599464412778,0.0023101994302123,0.0068436187211773,0.3775053862482309,"registered nurse, bsn",$79K - $100K /yr,79000.0,100000.0,yr,60.0,2.5,3.4,3.3,3.2,3.1,3.1399999999999997,3.0,3.1,3.1399999999999997,3.2,2.8,3.8,3.1,3.3,3.1399999999999997,2.6,3.3,3.4,15.0
HealthTrust Workforce Solutions,Healthcare,Nurse,4,1.0,"Jul 20, 2022",They don’t care about employees,"Registered nurse, bsn",Current employee,,negative,neutral,negative,Large corporation through the US,Don’t have too much to say about this company. I guess i have a job here,,,,Large corporation through the US Don’t have too much to say about this company. I guess i have a job here,0.0055820550769567,0.6203209161758423,0.0051031499169766,0.0080410800874233,0.0195798799395561,0.1192194148898124,0.0188995730131864,0.0787210091948509,0.0672839432954788,0.162176126614213,0.6330898425076157,"registered nurse, bsn",$79K - $100K /yr,79000.0,100000.0,yr,60.0,2.5,3.4,3.3,3.2,3.1,3.1399999999999997,3.0,3.1,3.1399999999999997,3.2,2.8,3.8,3.1,3.3,3.1399999999999997,2.6,3.3,3.4,15.0
HealthTrust Workforce Solutions,Healthcare,Nurse,4,4.0,"Feb 23, 2022",Work life,"Registered nurse, bsn","Former employee, more than 10 years",,positive,,positive,Hours are flexible and pay is fair.,Have to float to areas when not needed in specialty area.,,,,Hours are flexible and pay is fair. Have to float to areas when not needed in specialty area.,0.7128878235816956,0.9207181930541992,0.975194215774536,0.1632550805807113,0.06314317882061,0.0135934352874755,0.0018077834974974,0.0013502553338184,0.0145668257027864,-0.0177071145153604,2.0654224790632725,"registered nurse, bsn",$79K - $100K /yr,79000.0,100000.0,yr,60.0,2.5,3.4,3.3,3.2,3.1,3.1399999999999997,3.0,3.1,3.1399999999999997,3.2,2.8,3.8,3.1,3.3,3.1399999999999997,2.6,3.3,3.4,15.0
HealthTrust Workforce Solutions,Healthcare,Nurse,1,1.0,"Jun 26, 2026","User-friendly app, but pay and hours are inconsistent",Registered nurse,Former employee,"San Jose, CA",,,,Great app very user friendly,Inconsistent hours and pay for months,San Jose,CA,West,Great app very user friendly Inconsistent hours and pay for months,4.381620965432376e-05,0.0027174251154065,0.0231180042028427,0.0003558391763363,0.0020530931651592,0.4338672459125519,0.117388516664505,0.9119197726249696,0.9861893653869628,1.2847386089124484,0.0145761687563208,registered nurse,$76K - $95K /yr,76000.0,95000.0,yr,111.0,2.5,3.4,3.3,3.2,3.1,3.1399999999999997,3.0,3.1,3.1399999999999997,3.2,2.8,3.8,3.1,3.3,3.1399999999999997,2.6,3.3,3.4,15.0
HealthTrust Workforce Solutions,Healthcare,Nurse,1,4.0,"Mar 5, 2026",Good,Registered nurse,Current employee,"Las Vegas, NV",positive,,,Get to choose your own schedule,Onboarding takes a very long time,Las Vegas,NV,West,Get to choose your own schedule Onboarding takes a very long time,0.0593695268034935,0.7135365009307861,0.974725902080536,0.3447965979576111,0.0862980484962463,0.5346639752388,0.0304094664752483,0.1151672452688217,0.0283320788294076,0.2618163535371423,1.5040240455418823,registered nurse,$76K - $95K /yr,76000.0,95000.0,yr,111.0,2.5,3.4,3.3,3.2,3.1,3.1399999999999997,3.0,3.1,3.1399999999999997,3.2,2.8,3.8,3.1,3.3,3.1399999999999997,2.6,3.3,3.4,15.0
HealthTrust Workforce Solutions,Healthcare,Nurse,1,5.0,"Nov 13, 2025",Great company,Registered nurse,Current employee,"Las Vegas, NV",,,,"Easy booking, quick response, quick process.",You are the first to get canceled over staff.,Las Vegas,NV,West,"Easy booking, quick response, quick process. You are the first to get canceled over staff.",0.3619481921195984,0.7294166088104248,0.0520210638642311,0.0371316559612751,0.001872464432381,0.3995290398597717,0.0150927882641553,0.1166729480028152,0.0174548421055078,0.264759723591851,1.0547370268031957,registered nurse,$76K - $95K /yr,76000.0,95000.0,yr,111.0,2.5,3.4,3.3,3.2,3.1,3.1399999999999997,3.0,3.1,3.1399999999999997,3.2,2.8,3.8,3.1,3.3,3.1399999999999997,2.6,3.3,3.4,15.0
HealthTrust Workforce Solutions,Healthcare,Nurse,1,4.0,"Sep 18, 2025",Great Full time RN position,Registered nurse,"Former employee, more than 3 years","Saint Petersburg, FL",positive,neutral,positive,Flexibility,Contract work so different hospitals everyday sometimes,Saint Petersburg,FL,South,Flexibility Contract work so different hospitals everyday sometimes,0.1620063036680221,0.0739769265055656,0.4101337492465973,0.0138218291103839,0.0036306353285908,0.0705815181136131,0.0100911892950534,0.3764634132385254,0.0120799066498875,0.2354656702373176,0.4109149007126689,registered nurse,$76K - $95K /yr,76000.0,95000.0,yr,111.0,2.5,3.4,3.3,3.2,3.1,3.1399999999999997,3.0,3.1,3.1399999999999997,3.2,2.8,3.8,3.1,3.3,3.1399999999999997,2.6,3.3,3.4,15.0
HealthTrust Workforce Solutions,Healthcare,Nurse,1,4.0,"Aug 29, 2025",Local Travel,Registered nurse,"Former employee, more than 1 year","Nashville, TN",,,,Can accept contracts with facilities in my area or choose my own schedule.,I did not have any cons to working for HWS,Nashville,TN,South,Can accept contracts with facilities in my area or choose my own schedule. I did not have any cons to working for HWS,0.0809856355190277,0.8609753847122192,0.9641492366790771,0.1784450858831405,0.0095917331054806,0.0038828116375952,0.001623811549507,0.0005508605390787,0.002056703204289,-0.0771597438724711,1.537623044103384,registered nurse,$76K - $95K /yr,76000.0,95000.0,yr,111.0,2.5,3.4,3.3,3.2,3.1,3.1399999999999997,3.0,3.1,3.1399999999999997,3.2,2.8,3.8,3.1,3.3,3.1399999999999997,2.6,3.3,3.4,15.0
HealthTrust Workforce Solutions,Healthcare,Nurse,2,3.0,"Aug 6, 2025",RN,Registered nurse,"Former employee, more than 1 year","Miami, FL",,,,"Flexible scheduling, multiple job opportunities",Low wage increase every year,Miami,FL,South,"Flexible scheduling, multiple job opportunities Low wage increase every year",0.0833356827497482,0.5613476634025574,0.783282458782196,0.0166092924773693,0.0004786330391652,0.002748949220404,2.504451731510926e-05,0.0001659467961871,0.7595342397689819,0.373303940950791,1.0279476242139935,registered nurse,$76K - $95K /yr,76000.0,95000.0,yr,111.0,2.5,3.4,3.3,3.2,3.1,3.1399999999999997,3.0,3.1,3.1399999999999997,3.2,2.8,3.8,3.1,3.3,3.1399999999999997,2.6,3.3,3.4,15.0
HealthTrust Workforce Solutions,Healthcare,Nurse,2,4.0,"Jul 24, 2025",Solid Travel Company for Long Term Assignment,Registered nurse,"Current employee, more than 1 year","Salt Lake City, UT",positive,neutral,positive,"High hourly rate, able to stay at this assignment for as long as they need me, not the usual year in other travel assignments d/t paying local taxes, Amazing unit","Sometimes hard to communicate, Have to do most of the work myself to ensure my contract gets extended, Have had to call the company several times to fix logistical issues",Salt Lake City,UT,West,"High hourly rate, able to stay at this assignment for as long as they need me, not the usual year in other travel assignments d/t paying local taxes, Amazing unit Sometimes hard to communicate, Have to do most of the work myself to ensure my contract gets extended, Have had to call the company several times to fix logistical issues",0.8186569809913635,0.9724525213241576,0.2961293756961822,0.5089901089668274,0.0198522079735994,0.5269880890846252,0.0006160843768157,3.588572872104123e-05,0.0227466598153114,0.0358955031879304,2.116252526640892,registered nurse,$76K - $95K /yr,76000.0,95000.0,yr,111.0,2.5,3.4,3.3,3.2,3.1,3.1399999999999997,3.0,3.1,3.1399999999999997,3.2,2.8,3.8,3.1,3.3,3.1399999999999997,2.6,3.3,3.4,15.0
HealthTrust Workforce Solutions,Healthcare,Nurse,2,4.0,"May 2, 2025",Good company,Registered nurse,"Current employee, more than 1 year","Charleston, SC",,,,Very easy scheduling process on an app.,strict rules with picking up shifts,Charleston,SC,South,Very easy scheduling process on an app. strict rules with picking up shifts,0.0180582664906978,0.0213675275444984,0.0202967431396245,0.007545206695795,0.0004868104297202,0.0003392480721231,0.0003173324803356,3.7588313716696575e-05,0.0001370390236843,-0.0028332253405096,0.0507185040041804,registered nurse,$76K - $95K /yr,76000.0,95000.0,yr,111.0,2.5,3.4,3.3,3.2,3.1,3.1399999999999997,3.0,3.1,3.1399999999999997,3.2,2.8,3.8,3.1,3.3,3.1399999999999997,2.6,3.3,3.4,15.0
HealthTrust Workforce Solutions,Healthcare,Nurse,2,3.0,"Jan 29, 2025",Its okay,Registered nurse,Current employee,"Sunrise, FL",,,,Flexible but you get the worst of it,Canceled shifts and limited facilities affect pay,Sunrise,FL,South,Flexible but you get the worst of it Canceled shifts and limited facilities affect pay,0.0002955297823064,0.0588123463094234,0.0027882487047463,0.0042905248701572,0.0423017591238021,0.0784580335021019,0.0112884361296892,0.1328026354312896,0.8340423107147217,0.5635209828615189,0.0636460116511443,registered nurse,$76K - $95K /yr,76000.0,95000.0,yr,111.0,2.5,3.4,3.3,3.2,3.1,3.1399999999999997,3.0,3.1,3.1399999999999997,3.2,2.8,3.8,3.1,3.3,3.1399999999999997,2.6,3.3,3.4,15.0
HealthTrust Workforce Solutions,Healthcare,Nurse,2,3.0,"Dec 7, 2024",.,Registered nurse,Current employee,"Tampa, FL",,,,Flexible schedule and work life balance,Extremely unsafe ratios at every facility,Tampa,FL,South,Flexible schedule and work life balance Extremely unsafe ratios at every facility,0.0027314650360494,0.2209198921918869,0.0607628412544727,0.0002710199623834,0.0004184738209005,0.0072456472553312,0.004776120185852,0.0645970776677131,9.306152787758036e-05,0.0409223587957967,0.2535531765679479,registered nurse,$76K - $95K /yr,76000.0,95000.0,yr,111.0,2.5,3.4,3.3,3.2,3.1,3.1399999999999997,3.0,3.1,3.1399999999999997,3.2,2.8,3.8,3.1,3.3,3.1399999999999997,2.6,3.3,3.4,15.0
HealthTrust Workforce Solutions,Healthcare,Nurse,3,1.0,"Nov 27, 2024",Healthtrust RN,Registered nurse,"Current employee, more than 1 year","Kansas City, MO",negative,negative,positive,The pay was fine. Full benefits available,Unsafe assignments. 6:1 for most units,Kansas City,MO,Midwest,The pay was fine. Full benefits available Unsafe assignments. 6:1 for most units,0.0238746460527181,0.6806240677833557,0.5895698666572571,0.0711523815989494,0.023281892761588,0.2311293929815292,0.0411481969058513,0.4388652145862579,0.0271886568516492,0.3716250578872859,1.046679271850735,registered nurse,$76K - $95K /yr,76000.0,95000.0,yr,111.0,2.5,3.4,3.3,3.2,3.1,3.1399999999999997,3.0,3.1,3.1399999999999997,3.2,2.8,3.8,3.1,3.3,3.1399999999999997,2.6,3.3,3.4,15.0
HealthTrust Workforce Solutions,Healthcare,Nurse,3,4.0,"Sep 18, 2024",HT,Registered nurse,Current employee,"Ocala, FL",,,,"Good pay, lots of PRN shifts","Poor communication, extensive onboarding process",Ocala,FL,South,"Good pay, lots of PRN shifts Poor communication, extensive onboarding process",0.0001000294578261,0.3379741907119751,0.0002451454056426,0.0059722973965108,0.0004062449734192,0.6353803277015686,0.0440585575997829,0.2399280369281768,0.0005611083470284,0.4793118291199789,0.3426510085555492,registered nurse,$76K - $95K /yr,76000.0,95000.0,yr,111.0,2.5,3.4,3.3,3.2,3.1,3.1399999999999997,3.0,3.1,3.1399999999999997,3.2,2.8,3.8,3.1,3.3,3.1399999999999997,2.6,3.3,3.4,15.0
