company_name,department,occupation,page,rating,date,title,job_title,employment_status,location,recommend,ceo_approval,business_outlook,pros,cons,city,state,region
HealthTrust Workforce Solutions,Healthcare,Nurse,6,2.0,"Dec 4, 2022",Registered Nurse Contract,Registered nurse,Current employee,,,,,Make you own schedule most of the time Better pay than staff nurse,"Incentives are inconsistent even though staffing hasn't changed, nor has it improved. Stessfull assignments, almost always tripled in ICU. Unorganized and pretty unethical company.",,,
HealthTrust Workforce Solutions,Healthcare,Nurse,6,5.0,"Nov 12, 2022",Registered Nurse,Registered nurse,Current employee,"Orlando, FL",,,,Flexible and working on personal time,Never knowing what unit you’re working on,Orlando,FL,South
HealthTrust Workforce Solutions,Healthcare,Nurse,6,4.0,"Sep 14, 2022",Average pay for working at a specialty department,Registered nurse,"Current employee, more than 1 year","Las Vegas, NV",positive,,neutral,Flexible hours that you can choose,Average pay and mandatory on-call,Las Vegas,NV,West
HealthTrust Workforce Solutions,Healthcare,Nurse,7,5.0,"Aug 12, 2022",Great place to work,Registered nurse,"Current employee, more than 3 years",,positive,positive,positive,Great flexibility and always opportunities to work and earn more money.,I cannot think of any cons to list .,,,
HealthTrust Workforce Solutions,Healthcare,Nurse,7,4.0,"May 16, 2022",Like most places,Registered nurse,Current employee,,,,,The schedule Flexibility and locations,The High Staffing Ratios are a concern.,,,
HealthTrust Workforce Solutions,Healthcare,Nurse,7,4.0,"Sep 4, 2019",The company is busy.,Registered nurse,"Current employee, more than 5 years","Nash, TN",positive,neutral,,you can set up the days you need to work.,No hours to work during slow holiday seasons.,Nash,TN,South
HealthTrust Workforce Solutions,Healthcare,Nurse,7,4.0,"Aug 13, 2019","Fair pay, but not much support",Registered nurse,Current employee,,,,,The pay and shift differentials are good.,No manager/main point of contact if you have questions. Have to be your own advocate.,,,
HealthTrust Workforce Solutions,Healthcare,Nurse,1,3.0,"Aug 3, 2025",Not enough hrs,Certified nursing assistant cna,"Former employee, more than 5 years","El Paso, TX",negative,negative,negative,"Flexible schedule, paid every week.",You can't do more then 3 days of work. Not enough days to pick up. They cancel last minute.,El Paso,TX,South
HealthTrust Workforce Solutions,Healthcare,Nurse,1,3.0,"Aug 5, 2024",Healthtrurust review,Certified nursing assistant cna,"Current employee, more than 3 years","Houston, TX",,,,You can create your own schedule.,Pay isn't that great. One set pay for days and nights no shift differential,Houston,TX,South
HealthTrust Workforce Solutions,Healthcare,Nurse,1,3.0,"Feb 3, 2026",Floor Nurse,Nurse,"Current employee, more than 10 years","Murray, UT",negative,negative,negative,Tuition reimbursement and contracts with various schools to reduce cost,"No pension and high cost for insurance, even high deductible",Murray,UT,West
HealthTrust Workforce Solutions,Healthcare,Nurse,1,5.0,"Jul 1, 2023",Internal traveler,Nurse,Current employee,,positive,,,Ratios were decent 1:4-5 MS but recently changed to 1:5 day 1:6 night,Ratios and acuity are getting worse,,,
HealthTrust Workforce Solutions,Healthcare,Nurse,1,4.0,"Dec 1, 2022",Great manager,Nurse,Current employee,,,,,"Great manager, makes it flexible to work with kids","Average base salary, but does have incentive shifts",,,
HealthTrust Workforce Solutions,Healthcare,Nurse,1,5.0,"Oct 13, 2022",Great coworkers,Nurse,"Current employee, less than 1 year","Provo, UT",positive,,positive,Helpful staff that answer questions,Lots of patients on your own,Provo,UT,West
HealthTrust Workforce Solutions,Healthcare,Nurse,1,4.0,"Jan 28, 2022",Smooth hiring process and attentive leadership,Nurse,Former employee,"Salt Lake City, UT",,,,Leadership was accessible and flexible,Pay is very low compared to rising cost of living in Utah,Salt Lake City,UT,West
HealthTrust Workforce Solutions,Healthcare,Nurse,2,5.0,"Feb 20, 2021",Great training,Nurse,Former employee,,,,,"Benefits, structure, coworkers, training, location","Hours, on call, getting called off",,,
HealthTrust Workforce Solutions,Healthcare,Nurse,2,4.0,"Feb 2, 2021",Float pool RN,Nurse,"Former employee, more than 1 year",,positive,,,"Customizable schedule, 12 hour shifts",No benefits or guaranteed hours as PRN employee,,,
HealthTrust Workforce Solutions,Healthcare,Nurse,2,2.0,"Nov 27, 2019",Money Hungry,Nurse,"Former employee, more than 10 years","Salt Lake City, UT",negative,negative,negative,I had great co-workers here and was paid well.,Extremely money hungry. The higher up and big wigs only care about money. Seriously. They're all about doing favors to people and don't care about stepping on anyone's toes while they're at it. They ask for advice from employees then don't follow it. They have fired multiple friends of mine then replaced them with family friends... Seems sketchy? Yeah. It is. All they care about it making money. It has been declining for the past 10 years and will continue. Stay away.,Salt Lake City,UT,West
HealthTrust Workforce Solutions,Healthcare,Nurse,2,5.0,"Nov 11, 2017",Staff Nurse,Nurse,"Current employee, less than 1 year",,positive,positive,positive,Transparent leadership culture of safety,"Pay could be more competitive especially since it is difficult to obtain staff in our area Advance is difficult, people stay in their positions for a long time",,,
HealthTrust Workforce Solutions,Healthcare,Nurse,2,3.0,"Jan 31, 2017",Nurse administrator,Nurse,"Current employee, more than 5 years","Salt Lake City, UT",positive,,positive,"Very nice people, hard working","Very matrixed, unwelcoming to ideas from outside Utah. Only benchmark against themselves.",Salt Lake City,UT,West
HealthTrust Workforce Solutions,Healthcare,Nurse,3,3.1,"Aug 23, 2016",Nurse Manager,Nurse,"Former employee, more than 8 years","Ogden, UT",positive,,neutral,"Great Benefits, supportive environment, average pay",Don't listen well to employees,Ogden,UT,West
Intermountain Health,Healthcare,Nurse,1,3.0,"Feb 3, 2026",Floor Nurse,Nurse,"Current employee, more than 10 years","Murray, UT",negative,negative,negative,Tuition reimbursement and contracts with various schools to reduce cost,"No pension and high cost for insurance, even high deductible",Murray,UT,West
Intermountain Health,Healthcare,Nurse,1,5.0,"Jul 1, 2023",Internal traveler,Nurse,Current employee,,positive,,,Ratios were decent 1:4-5 MS but recently changed to 1:5 day 1:6 night,Ratios and acuity are getting worse,,,
Intermountain Health,Healthcare,Nurse,1,4.0,"Dec 1, 2022",Great manager,Nurse,Current employee,,,,,"Great manager, makes it flexible to work with kids","Average base salary, but does have incentive shifts",,,
Intermountain Health,Healthcare,Nurse,1,5.0,"Oct 13, 2022",Great coworkers,Nurse,"Current employee, less than 1 year","Provo, UT",positive,,positive,Helpful staff that answer questions,Lots of patients on your own,Provo,UT,West
Intermountain Health,Healthcare,Nurse,1,4.0,"Jan 28, 2022",Smooth hiring process and attentive leadership,Nurse,Former employee,"Salt Lake City, UT",,,,Leadership was accessible and flexible,Pay is very low compared to rising cost of living in Utah,Salt Lake City,UT,West
Intermountain Health,Healthcare,Nurse,2,5.0,"Feb 20, 2021",Great training,Nurse,Former employee,,,,,"Benefits, structure, coworkers, training, location","Hours, on call, getting called off",,,
Intermountain Health,Healthcare,Nurse,2,4.0,"Feb 2, 2021",Float pool RN,Nurse,"Former employee, more than 1 year",,positive,,,"Customizable schedule, 12 hour shifts",No benefits or guaranteed hours as PRN employee,,,
Intermountain Health,Healthcare,Nurse,2,2.0,"Nov 27, 2019",Money Hungry,Nurse,"Former employee, more than 10 years","Salt Lake City, UT",negative,negative,negative,I had great co-workers here and was paid well.,Extremely money hungry. The higher up and big wigs only care about money. Seriously. They're all about doing favors to people and don't care about stepping on anyone's toes while they're at it. They ask for advice from employees then don't follow it. They have fired multiple friends of mine then replaced them with family friends... Seems sketchy? Yeah. It is. All they care about it making money. It has been declining for the past 10 years and will continue. Stay away.,Salt Lake City,UT,West
Intermountain Health,Healthcare,Nurse,2,5.0,"Nov 11, 2017",Staff Nurse,Nurse,"Current employee, less than 1 year",,positive,positive,positive,Transparent leadership culture of safety,"Pay could be more competitive especially since it is difficult to obtain staff in our area Advance is difficult, people stay in their positions for a long time",,,
Intermountain Health,Healthcare,Nurse,2,3.0,"Jan 31, 2017",Nurse administrator,Nurse,"Current employee, more than 5 years","Salt Lake City, UT",positive,,positive,"Very nice people, hard working","Very matrixed, unwelcoming to ideas from outside Utah. Only benchmark against themselves.",Salt Lake City,UT,West
Intermountain Health,Healthcare,Nurse,3,3.1,"Aug 23, 2016",Nurse Manager,Nurse,"Former employee, more than 8 years","Ogden, UT",positive,,neutral,"Great Benefits, supportive environment, average pay",Don't listen well to employees,Ogden,UT,West
Intermountain Health,Healthcare,Nurse,1,4.0,"Mar 24, 2025",Stable work,Certified nursing assistant cna,Former employee,"Provo, UT",,,,401k,CNA: patient ratio was 12:1,Provo,UT,West
Intermountain Health,Healthcare,Nurse,1,5.0,"Feb 25, 2025",great company to work for him,Certified nursing assistant cna,"Current employee, more than 1 year","Provo, UT",positive,positive,positive,"They create an inclusive and supportive environment that focuses on helping employees grow both professionally and personally. By fostering a culture of collaboration, continuous learning, and mentorship, they ensure that every team member feels valued, empowered, and equipped with the resources needed to succeed.",they are of people so you may feel small,Provo,UT,West
Intermountain Health,Healthcare,Nurse,1,4.0,"Oct 11, 2024",Great,Certified nursing assistant cna,Current employee,,,,,Good company to work for. Very flexible and decent pay.,In float pool expect to be sitting a lot.,,,
Intermountain Health,Healthcare,Nurse,1,4.0,"Sep 29, 2024",Good place to work,Certified nursing assistant cna,Former employee,"Ogden, UT",,,,Lots of hours to work,Not enough employees for patient amount,Ogden,UT,West
Intermountain Health,Healthcare,Nurse,1,4.0,"Sep 25, 2024",Excellent Team support,Certified nursing assistant cna,"Current employee, less than 1 year","Murray, UT",,,,Training and opportunity for advancement,I can't say I feel there are any Cons,Murray,UT,West
Intermountain Health,Healthcare,Nurse,2,4.0,"Sep 16, 2024",CNA Med/surg,Certified nursing assistant cna,"Former employee, more than 1 year","Salt Lake City, UT",positive,neutral,positive,"Great management, teamwork, communication, and transitions to day shift after only a few months.",I don't have any cons to say.,Salt Lake City,UT,West
Intermountain Health,Healthcare,Nurse,2,3.0,"May 31, 2024",IHC Work review,Certified nursing assistant cna,"Former employee, more than 10 years","Cedar City, UT",,,,Learned some good things while I worked at Cedar City hospital. Had some positive experiences.,"Management is not concerned about employees just about how things look to corporate, making sure we get all good results on patient evaluations that type of thing and saving money! We would be staffed very lean to save $ but then those working would be swamped with patients and expected to give top quality care! Of course we wanted to but it’s physically impossible to meet the needs of every patient when you have too many!",Cedar City,UT,West
Intermountain Health,Healthcare,Nurse,2,2.0,"Apr 18, 2024",When they took over things went downhill in every area..,Certified nursing assistant cna,"Current employee, more than 8 years","Denver, CO",negative,negative,negative,They didn't reduce base pay just differential pay.,"Micro management to the nth degree. Low morale, willing to work is understaffed",Denver,CO,West
Intermountain Health,Healthcare,Nurse,2,5.0,"Feb 29, 2024",Good management,Certified nursing assistant cna,"Current employee, more than 1 year","Murray, UT",positive,positive,positive,"Easy scheduling, friendly environment, cafeteria is good","Can be exhausting, pay is not the best for the job",Murray,UT,West
Intermountain Health,Healthcare,Nurse,2,4.0,"Feb 26, 2024",One of the better places in town,Certified nursing assistant cna,"Former employee, more than 3 years","St. George, UT",positive,positive,positive,"Tuition reimbursement, organized, and good quality workers",My pay never dramatically increased after working there longer than other CNAs.,St. George,UT,West
Intermountain Health,Healthcare,Nurse,3,4.0,"Feb 21, 2024",personal opinion,Certified nursing assistant cna,Former employee,,positive,,positive,great flexibility for hours while being a student,short staffed at times and needing to be in two places at once,,,
Intermountain Health,Healthcare,Nurse,3,3.0,"Feb 12, 2024",It's a Short Term Kind of Job,Certified nursing assistant cna,Current employee,"Salt Lake City, UT",,,,"Nice benefits, opportunities for advancements",Low base pay and low raises,Salt Lake City,UT,West
Intermountain Health,Healthcare,Nurse,3,5.0,"Sep 8, 2023",Great place to work on the floor,Certified nursing assistant cna,"Current employee, less than 1 year","Butte, MT",positive,,positive,"The management and coworkers are great! The patients are rarely a problem. Everyone works together and makes a great team. You normally hear about how awful coworkers in hospitals are, but they are so great here it makes me hesitant to work elsewhere.",It's hospital work. You will probably wipe a butt at some point if that is your scope of practice. It's also in Butte (if that is your location).,Butte,MT,West
Intermountain Health,Healthcare,Nurse,3,1.0,"Apr 26, 2023",Not for women of color,Certified nursing assistant cna,"Former employee, less than 1 year","Wheat Ridge, CO",negative,,,"Patients, the work is rewarding",Some staff are uncomfortable with teammates of a different race. Management does nothing about this even if you complain about the issue.,Wheat Ridge,CO,West
Intermountain Health,Healthcare,Nurse,3,3.0,"Apr 1, 2023",Good environment,Certified nursing assistant cna,"Current employee, more than 1 year","Grand Junction, CO",positive,neutral,neutral,Learning opportunities are great a lot of nurses assist with teaching you things.,"Pay needs to be better, as a CNA I have opportunities to make more elsewhere, I have only stayed because of the learning environment",Grand Junction,CO,West
Intermountain Health,Healthcare,Nurse,4,3.0,"Mar 8, 2023",It’s ok,Certified nursing assistant cna,Former employee,"Grand Junction, Mesa, CO",,,,Learning is good for entry level,Short handed so could be floated out of your unit a lot,Grand Junction,"Mesa, CO",
Intermountain Health,Healthcare,Nurse,4,4.0,"Jan 5, 2023",Cna,Certified nursing assistant cna,"Former employee, more than 1 year",,,,,"Good pay, clear schedule and job duties",I worked during Covid and would be moved around too different floors each day.,,,
Intermountain Health,Healthcare,Nurse,4,4.0,"Dec 19, 2022",Cna,Certified nursing assistant cna,Current employee,,,,,Good pay and the coworkers are great,Short staffed and CNA work is hard,,,
Intermountain Health,Healthcare,Nurse,4,5.0,"Aug 24, 2022",Intermountain Healtcare-CNA,Certified nursing assistant cna,Current employee,,,,,They compensate very well and management actually listens and understand my problems.,They are understaffed so the work load is really high.,,,
Intermountain Health,Healthcare,Nurse,4,5.0,"Aug 16, 2022",Na,Certified nursing assistant cna,Current employee,,,,,"Great culture, teams and environment",Prefer not to comment at this time,,,
Intermountain Health,Healthcare,Nurse,5,5.0,"Jun 3, 2022",Great place,Certified nursing assistant cna,Current employee,"Denver, CO",,,,Only work 3 days a week.,The shifts are very long.,Denver,CO,West
Intermountain Health,Healthcare,Nurse,5,4.0,"Jun 2, 2022","Good workplace and culture, behind the competition on pay",Certified nursing assistant cna,Former employee,,,,,"Good work culture, clean buildings and clinics.","Doesn't pay as well as other hospital systems, many units understaffed",,,
Intermountain Health,Healthcare,Nurse,5,5.0,"Jun 1, 2022",Good Job,Certified nursing assistant cna,Current employee,,positive,,positive,Awesome Community,CNAs should honestly be paid more.,,,
Intermountain Health,Healthcare,Nurse,5,4.0,"May 31, 2022",Pros and cons,Certified nursing assistant cna,Current employee,,positive,positive,positive,"Great benefit, pay is fair and overall a great company to work for.",You can only call in 5 times per year. It’s hard when you have kids that get sick.,,,
Intermountain Health,Healthcare,Nurse,5,5.0,"Mar 18, 2022",Best hospital system in Denver,Certified nursing assistant cna,Current employee,"Denver, CO",,,,Great teamwork with nurses and management,Pay is low for the area,Denver,CO,West
Intermountain Health,Healthcare,Nurse,6,2.0,"Jan 31, 2022",Toxic Environment,Certified nursing assistant cna,Current employee,"Grand Junction, CO",negative,neutral,neutral,Bi weekly pay PTO 12 Hour shifts,Low pay No appreciation Everyone seems to dislike their job,Grand Junction,CO,West
Intermountain Health,Healthcare,Nurse,6,2.0,"Jan 12, 2022",Horrible conditions,Certified nursing assistant cna,"Former employee, more than 3 years","St. George, UT",negative,negative,negative,Nothing positive horrible managers no people skills,Low Wages to many hours hardly any days off,St. George,UT,West
